iter	RMSE
0	3.05387001
1	3.019558378
2	2.987795169
3	2.953648006
4	2.917443389
5	2.8806894926	2.909796911
7	2.876104351
8	2.848620199
9	2.817580471
10	2.78300774
11	2.752008541
12	2.722273352
13	2.693969978
14	2.666676686
15	2.635166733
16	2.609719232
17	2.58717168
18	2.563542247
19	2.537097336
20	2.516586405
21	2.491950353
22	2.462531225
23	2.440593311
24	2.416806948
25	2.392384739
26	2.371309518
27	2.348377879
28	2.323575378
29	2.301038545
30	2.277264121
31	2.2589795
32	2.238383254
33	2.219560804
34	2.196202868
35	2.178370003
36	2.155827874
37	2.13864669
38	2.121182085
39	2.098354144
40	2.076480385
41	2.062278941
42	2.04771503
43	2.027491523
44	2.006246641
45	1.98791301
46	1.970770264
47	1.951840552
48	1.93759096
49	1.923074576
50	1.90948232
51	1.896611872
52	1.885004253
53	1.868001958
54	1.85341
55	1.840265876
56	1.822632868
57	1.807962866
58	1.793586808
59	1.780341814
60	1.766103751
61	1.753769879
62	1.738821422
63	1.726096705
64	1.712414888
65	1.701200122
66	1.687137107
67	1.67109297
68	1.659755944
69	1.648955687
70	1.638832274
71	1.626619686
72	1.615463766
73	1.605910116
74	1.593318152
75	1.58375	1.596388909
76	1.583486161
77	1.570842509
78	1.558579118
79	1.546344076
80	1.534489653
81	1.523288435
82	1.512906279
83	1.498948097
84	1.487829265
85	1.480215349
86	1.468380076
87	1.458798236
88	1.447829166
89	1.440446922
90	1.429679571
91	1.423992995
92	1.41459629
93	1.406572611
94	1.396070563
95	1.383281806
96	1.372013702
97	1.365356866
98	1.359177711
99	1.348862597
100	1.33902501
101	1.327061612
102	1.320484816
103	1.314057532
104	1.305192205
105	1.297161603
106	1.287750768
107	1.280759013
108	1.274766167
109	1.26329762
110	1.257424778
111	1.250161964
112	1.2417583
113	1.234392436
114	1.227254602
115	1.22021122
116	1.212053483
117	1.206481144
118	1.19626135
119	1.189297446
120	1.183134149
121	1.177097429
122	1.168773552
123	1.162845912
124	1.156294413
125	1.150493432
126	1.143758711
127	1.136006772
128	1.130498522
129	1.123529301
130	1.118841228
131	1.113589962
132	1.108694966
133	1.105523647
134	1.099162107
135	1.095044103
136	1.090885488
137	1.085814027
138	1.082627484
139	1.074690676
140	1.067054355
141	1.06396077
142	1.057443688
143	1.052318015
144	1.045737113
145	1.039428364
146	1.032824331
147	1.02564668
148	1.021345549
149	1.015548697
150	1.011245498
151	1.006730219
152	1.002001495
153	0.9958068455
154	0.9907878727
155	0.984844893
156	0.9786439568
157	0.9748919073
158	0.9711239116
159	0.9656682045
160	0.9623372902
161	0.9588371505
162	0.953601902
163	0.948083171
164	0.9435648278
165	0.9404933802
166	0.93430942
167	0.9279051963
168	0.9227164442
169	0.9168698197
170	0.913321355
171	0.9076149304
172	0.9043348367
173	0.8989336251
174	0.8928095651
175	0.8871827142
176	0.8822757843
177	0.8772852136
178	0.8730445312
179	0.8665685426
180	0.8633690337
181	0.8586359702
182	0.8555242563
183	0.8505641301
184	0.8462062912
185	0.8429556013
186	0.8387959846
187	0.8344427328
188	0.8304358211
189	0.8264844942
190	0.8226802763
191	0.8185025331
192	0.8147214745
193	0.8104908396
194	0.8062547286
195	0.8021023403
196	0.7974675669
197	0.7920004132
198	0.7854397441
199	0.781435298
200	0.7764303107
201	0.771832045
202	0.7677009247
203	0.7640786719
204	0.7594658443
205	0.7550444561
206	0.7515130688
207	0.7475909917
208	0.7437999415
209	0.7392969356
210	0.736010895
211	0.7329778675
212	0.7284256315
213	0.7240958601
214	0.7208196716
215	0.7176421077
216	0.7145263649
217	0.7102033759
218	0.7071050766
219	0.7038553265
220	0.69935689
221	0.6939799336
222	0.6903341143
223	0.6858269554
224	0.6819476102
225	0.6788910555
226	0.6752213809
227	0.6701832549
228	0.6675011145
229	0.6638817801
230	0.661742888
231	0.658067542
232	0.6535114932
233	0.6502672452
234	0.6468306537
235	0.6423125073
236	0.639243566
237	0.6350990556
238	0.6322125406
239	0.6301350219
240	0.627459585
241	0.6247484298
242	0.6222490604
243	0.6202337043
244	0.6171970192
245	0.6141059854
246	0.6095931136
247	0.6067736061
248	0.6027355231
249	0.599601153
250	0.5971207985
251	0.5929867526
252	0.5893700302
253	0.5860971056
254	0.5821353122
255	0.5782428208
256	0.575180517
257	0.5727766808
258	0.5700178236
259	0.5662623261
260	0.563555362
261	0.5611796476
262	0.5584910568
263	0.5551812768
264	0.5527682595
265	0.5494858436
266	0.5462601879
267	0.5437905382
268	0.5409321912
269	0.5376077949
270	0.5344148927
271	0.5314253223
272	0.5289949932
273	0.5269851366
274	0.5241391312
275	0.5211417077
276	0.5188175568
277	0.5164833127
278	0.514169936
279	0.5120518133
280	0.5090851218
281	0.5069490525
282	0.5049533326
283	0.5029392212
284	0.5007519813
285	0.4982039267
286	0.4955649279
287	0.493584653
288	0.4909653962
289	0.4889691466
290	0.4871697814
291	0.4851941307
292	0.4824833334
293	0.4807580237
294	0.4790519603
295	0.4771727283
296	0.4754212948
297	0.4736908693
298	0.4719060703
299	0.4703889982
300	0.4687399585
301	0.4670308047
302	0.4655683123
303	0.463909862
304	0.4623538932
305	0.4607171207
306	0.4595639601
307	0.4579617333
308	0.4566106553
309	0.4552800279
310	0.4537414117
311	0.4522973474
312	0.4508761965
313	0.4494837307
314	0.4479784598
315	0.4466102323
316	0.4453663132
317	0.4433570059
318	0.4421467095
319	0.4408156003
320	0.439631417
321	0.4383292223
322	0.4370479564
323	0.4356439354
324	0.4343850987
325	0.4327713294
326	0.4308733576
327	0.429520378
328	0.4284181909
329	0.4269335939
330	0.4257061481
331	0.4241996881
332	0.422643345
333	0.4214329056
334	0.4198945548
335	0.4188139911
336	0.4173580353
337	0.4159513067
338	0.4144638213
339	0.413278016
340	0.4118717317
341	0.4100282726
342	0.4085867741
343	0.4075198324
344	0.4057077991
345	0.4043146966
346	0.403270603
347	0.4014874664
348	0.4000921432
349	0.3983374815
350	0.3969707865
351	0.3952441193
352	0.3935341236
353	0.3922136936
354	0.3911940042
355	0.3901900155
356	0.3885094087
357	0.3875839521
358	0.3862971878
359	0.3846429859
360	0.3836777973
361	0.3822664478
362	0.3806296979
363	0.3793775232
364	0.3784952586
365	0.3768840821
366	0.3759620249
367	0.3747375995
368	0.3731520241
369	0.3715819431
370	0.370729026
371	0.370	0.33119372	0.371	0.33000373	0.3671512194
374	0.3657984898
375	0.3642714228
376	0.3634520672
377	0.3626435487
378	0.3611330945
